step,episode,reward,done,action,state0,state1,state2,state3,state4,state5,state6,state7
0,0,0.6369541572839819,False,3,-0.005720329470932484,1.410369873046875,-0.5794275403022766,-0.024463631212711334,0.006635279394686222,0.13124895095825195,0.0,0.0
1,0,-1.1099445488119557,False,2,-0.011355018243193626,1.4092402458190918,-0.5678340792655945,-0.05023493990302086,0.010953153483569622,0.08636604994535446,0.0,0.0
2,0,0.7399884609158403,False,3,-0.017050743103027344,1.4083991050720215,-0.5736612677574158,-0.03742426261305809,0.015007403679192066,0.08109235763549805,0.0,0.0
3,0,0.8930614764337872,False,3,-0.022661304101347923,1.4069578647613525,-0.5629957914352417,-0.06407526135444641,0.016919871792197227,0.0382532998919487,0.0,0.0
4,0,-0.7330882903925044,False,2,-0.028186321258544922,1.4049277305603027,-0.5522542595863342,-0.09021732956171036,0.016674626618623734,-0.004905082285404205,0.0,0.0
5,0,-1.506840428760795,False,1,-0.03379850462079048,1.4031423330307007,-0.5605963468551636,-0.07934597134590149,0.01605767384171486,-0.012340477667748928,0.0,0.0
6,0,-0.42719482801939535,False,0,-0.03949994966387749,1.4007540941238403,-0.5717905163764954,-0.10616134107112885,0.017686020582914352,0.032569777220487595,0.0,0.0
7,0,0.7088750104432802,False,3,-0.04520149156451225,1.39776611328125,-0.5717965364456177,-0.1328265219926834,0.019312966614961624,0.032541967928409576,0.0,0.0
8,0,0.7313860825803442,False,3,-0.050820160657167435,1.3941901922225952,-0.5614128708839417,-0.1589212715625763,0.018853550776839256,-0.009189127013087273,0.0,0.0
9,0,1.0652128843460116,False,3,-0.0563623420894146,1.3900120258331299,-0.551805853843689,-0.18566490709781647,0.01647062413394451,-0.047663044184446335,0.0,0.0
10,0,-0.04551059466572838,False,0,-0.06181278079748154,1.3852356672286987,-0.540291428565979,-0.21223412454128265,0.01178131252527237,-0.09379514306783676,0.0,0.0
11,0,1.0399112512203146,False,2,-0.0672629326581955,1.3798596858978271,-0.5402766466140747,-0.2389039397239685,0.007093271240592003,-0.09376916289329529,0.0,0.0
12,0,1.4396727146528974,False,2,-0.07269287109375,1.3746018409729004,-0.5383716821670532,-0.23366758227348328,0.002515810541808605,-0.09155761450529099,0.0,0.0
13,0,-0.5819527360805978,False,2,-0.07803621143102646,1.3695865869522095,-0.5301267504692078,-0.22289879620075226,-0.0016466269735246897,-0.08325590193271637,0.0,0.0
