step,episode,reward,done,action,state0,state1,state2,state3,state4,state5,state6,state7
0,0,0.9577926397045371,False,3,-0.004819679073989391,1.4121278524398804,-0.48819559812545776,0.053668197244405746,0.0055915857665240765,0.11058350652456284,0.0,0.0
1,0,0.8248514028922795,False,3,-0.009552287869155407,1.4127501249313354,-0.4765496850013733,0.02763647586107254,0.008853629231452942,0.06524743884801865,0.0,0.0
2,0,-0.1581972778973295,False,0,-0.014211272820830345,1.4127788543701172,-0.46732497215270996,0.001271330169402063,0.010260839015245438,0.028146620839834213,0.0,0.0
3,0,-1.5219163435928909,False,1,-0.01887035369873047,1.4122076034545898,-0.4673280119895935,-0.02540029212832451,0.011668325401842594,0.028152476996183395,0.0,0.0
4,0,0.5118690166791964,False,2,-0.023612212389707565,1.4110356569290161,-0.4777134358882904,-0.05212447792291641,0.015157081186771393,0.06978151947259903,0.0,0.0
5,0,0.7176416248695443,False,3,-0.028254985809326172,1.4106006622314453,-0.4683537483215332,-0.019377587363123894,0.01918230950832367,0.08051205426454544,0.0,0.0
6,0,-1.5915103643726514,False,1,-0.032815076410770416,1.4095664024353027,-0.4579692780971527,-0.04599451646208763,0.021122487261891365,0.03880710527300835,0.0,0.0
7,0,0.3674575108460669,False,3,-0.0374545082449913,1.40794038772583,-0.46791091561317444,-0.07232698798179626,0.02505260892212391,0.07860977947711945,0.0,0.0
8,0,-1.5480592515620788,False,1,-0.04202156141400337,1.4057062864303589,-0.4588549733161926,-0.09933273494243622,0.02716659940779209,0.04228353872895241,0.0,0.0
9,0,0.3681393679102325,False,3,-0.046652890741825104,1.4028698205947876,-0.46689003705978394,-0.1261325627565384,0.03089197166264057,0.07451431453227997,0.0,0.0
10,0,0.28765534304028617,False,3,-0.051199816167354584,1.399425983428955,-0.45632439851760864,-0.1530960500240326,0.03249984234571457,0.03216051682829857,0.0,0.0
11,0,0.23860830347311549,False,3,-0.05567655712366104,1.3953871726989746,-0.44751229882240295,-0.17950159311294556,0.03233945742249489,-0.003208060283213854,0.0,0.0
12,0,0.7783511499759481,False,3,-0.060093022882938385,1.390760898590088,-0.4399425983428955,-0.20558232069015503,0.03065606951713562,-0.03367076441645622,0.0,0.0
13,0,0.5919767265056362,False,3,-0.06441240012645721,1.3855371475219727,-0.42776936292648315,-0.2320806384086609,0.026533473283052444,-0.08245949447154999,0.0,0.0
14,0,-0.23872205439994332,False,0,-0.06866035610437393,1.3797273635864258,-0.41881561279296875,-0.25812068581581116,0.020614759996533394,-0.11838511377573013,0.0,0.0
15,0,-1.2776720860819626,False,1,-0.07290820777416229,1.3733179569244385,-0.41879740357398987,-0.28479164838790894,0.014697196893393993,-0.11836221069097519,0.0,0.0
16,0,-0.47204503595702363,False,0,-0.07722997665405273,1.3662956953048706,-0.42808276414871216,-0.3120705783367157,0.010647611692547798,-0.08099901676177979,0.0,0.0
17,0,0.18583292338434035,False,3,-0.08155164867639542,1.3586734533309937,-0.428072452545166,-0.3387402296066284,0.006597854662686586,-0.08100244402885437,0.0,0.0
18,0,-0.9283337795113187,False,3,-0.08581390231847763,1.3504501581192017,-0.42061886191368103,-0.36546507477760315,0.0010580680100247264,-0.11080558598041534,0.0,0.0
19,0,-1.1306981316994313,False,3,-0.09001541137695312,1.341618537902832,-0.4130154550075531,-0.39253178238868713,-0.006000198423862457,-0.14117802679538727,0.0,0.0
20,0,-2.474123608510324,False,1,-0.09412088245153427,1.3321760892868042,-0.40097683668136597,-0.4197191596031189,-0.01546618714928627,-0.1893366128206253,0.0,0.0
21,0,-2.169873539405556,False,1,-0.09831323474645615,1.322135329246521,-0.4118737280368805,-0.44635412096977234,-0.022741440683603287,-0.1455177515745163,0.0,0.0
