step,episode,reward,done,action,state0,state1,state2,state3,state4,state5,state6,state7
0,0,1.3004004836774186,False,2,0.0026387213729321957,1.4004307985305786,0.2672654390335083,-0.4661967158317566,-0.0030508842319250107,-0.06053953617811203,0.0,0.0
1,0,0.46198936821339204,False,2,0.00539321918040514,1.390302062034607,0.27791547775268555,-0.45016950368881226,-0.005495146382600069,-0.048889048397541046,0.0,0.0
2,0,4.145950066547994,False,2,0.008088779635727406,1.380101203918457,0.27231723070144653,-0.4533821940422058,-0.008230611681938171,-0.05471412092447281,0.0,0.0
3,0,2.735124338372981,False,2,0.010665607638657093,1.3707612752914429,0.2610628306865692,-0.41513481736183167,-0.011572903953492641,-0.06685219705104828,0.0,0.0
4,0,1.6980913590755733,False,2,0.013189983554184437,1.362026333808899,0.2561183571815491,-0.38825586438179016,-0.015209999866783619,-0.0727485716342926,0.0,0.0
5,0,1.5548849052426987,False,2,0.01576204225420952,1.3537771701812744,0.26069724559783936,-0.3666714131832123,-0.018672119826078415,-0.06924880295991898,0.0,0.0
6,0,0.6333435620458772,False,2,0.01816558837890625,1.3456836938858032,0.24470806121826172,-0.35976848006248474,-0.022983001545071602,-0.08622519671916962,0.0,0.0
7,0,-0.024288057728642787,False,2,0.020572185516357422,1.3377540111541748,0.24505850672721863,-0.3525004982948303,-0.02733391709625721,-0.08702634274959564,0.0,0.0
8,0,3.0722598629610447,False,2,0.023020649328827858,1.329864263534546,0.24910128116607666,-0.3507404029369354,-0.031541213393211365,-0.0841536670923233,0.0,0.0
9,0,-1.151729834182844,False,1,0.025442887097597122,1.3228113651275635,0.24674873054027557,-0.31356385350227356,-0.03601618483662605,-0.08950776606798172,0.0,0.0
10,0,-0.8392595107789862,False,1,0.027791690081357956,1.3151506185531616,0.23754385113716125,-0.34054139256477356,-0.03864775970578194,-0.05263636261224747,0.0,0.0
11,0,2.6495391306179785,False,2,0.030051708221435547,1.3068962097167969,0.22640061378479004,-0.3668729364871979,-0.03904151916503906,-0.007875853218138218,0.0,0.0
12,0,2.155470885100198,False,2,0.032446764409542084,1.2994329929351807,0.2394392192363739,-0.3316954970359802,-0.03896847739815712,0.0014607899356633425,0.0,0.0
13,0,1.1897619572100495,False,2,0.03489408642053604,1.2925536632537842,0.24455197155475616,-0.3057500123977661,-0.03879421576857567,0.0034854270052164793,0.0,0.0
14,0,1.2689690105629097,False,2,0.03732738643884659,1.2858922481536865,0.2433195859193802,-0.2960669696331024,-0.03878509998321533,0.00018242828082293272,0.0,0.0
15,0,1.5023854427582364,False,2,0.03971376270055771,1.2794301509857178,0.23895351588726044,-0.2872072756290436,-0.039093002676963806,-0.006158786825835705,0.0,0.0
16,0,1.767306732224921,False,2,0.0420536994934082,1.2732560634613037,0.2346283197402954,-0.27442166209220886,-0.03972751274704933,-0.012691277079284191,0.0,0.0
17,0,-0.38714154447130794,False,2,0.04448061063885689,1.267734169960022,0.2430844008922577,-0.24542537331581116,-0.04010884091258049,-0.007627462036907673,0.0,0.0
18,0,0.6754122724102103,False,2,0.04710998386144638,1.2624586820602417,0.2624747157096863,-0.23445430397987366,-0.039649609476327896,0.009185299277305603,0.0,0.0
19,0,-0.13528119870278374,False,1,0.04989299923181534,1.2577319145202637,0.27724772691726685,-0.2100565880537033,-0.038615573197603226,0.020682919770479202,0.0,0.0
20,0,2.7649292604607867,False,2,0.05259818956255913,1.2524080276489258,0.267507940530777,-0.23653417825698853,-0.03562973812222481,0.05972175672650337,0.0,0.0
21,0,0.4385472946831442,False,2,0.05526924133300781,1.2478306293487549,0.2643950581550598,-0.20338210463523865,-0.03295231983065605,0.053553301841020584,0.0,0.0
22,0,-0.04557419496495527,False,1,0.05793771892786026,1.2432602643966675,0.2642067074775696,-0.2030743509531021,-0.030348245054483414,0.052086103707551956,0.0,0.0
23,0,-0.11542444137322036,False,1,0.06052856519818306,1.2380849123001099,0.25449687242507935,-0.22992582619190216,-0.025804152712225914,0.09089003503322601,0.0,0.0
24,0,2.8194131399790026,False,2,0.0630560889840126,1.2323169708251953,0.24654392898082733,-0.2562609910964966,-0.019668621942400932,0.12272138893604279,0.0,0.0
25,0,1.9007681663453126,False,2,0.06563282012939453,1.227312445640564,0.2513083815574646,-0.22235099971294403,-0.013387599028646946,0.1256207823753357,0.0,0.0
26,0,1.1247442669194185,False,2,0.0683194175362587,1.2230010032653809,0.26184168457984924,-0.191573828458786,-0.006650906056165695,0.13473379611968994,0.0,0.0
27,0,0.3864883265467938,False,2,0.07117719948291779,1.2194714546203613,0.27817636728286743,-0.15686270594596863,0.00084925681585446,0.1500033289194107,0.0,0.0
28,0,-1.1553861806002306,False,1,0.07401399314403534,1.2164052724838257,0.2761775851249695,-0.13629110157489777,0.008255712687969208,0.14812897145748138,0.0,0.0
29,0,1.9258217726225382,False,2,0.07678737491369247,1.212746262550354,0.2682207524776459,-0.16270305216312408,0.017254741862416267,0.1799805462360382,0.0,0.0
30,0,0.4238399216800815,False,2,0.07938604056835175,1.2096806764602661,0.25150126218795776,-0.13636252284049988,0.02550945244729519,0.16509424149990082,0.0,0.0
31,0,-1.2237350012735237,False,1,0.08198356628417969,1.2073018550872803,0.2512988746166229,-0.10589918494224548,0.03386088088154793,0.1670287847518921,0.0,0.0
32,0,0.1342004020082584,False,2,0.08451928943395615,1.2043126821517944,0.24353012442588806,-0.13310644030570984,0.043774113059043884,0.19826456904411316,0.0,0.0
33,0,0.620995448967119,False,2,0.08690986782312393,1.2012656927108765,0.22963273525238037,-0.13572384417057037,0.05309027433395386,0.1863231360912323,0.0,0.0
34,0,-2.471813153161405,False,3,0.08931054919958115,1.1990927457809448,0.230350524187088,-0.09694861620664597,0.0626944974064827,0.1920844167470932,0.0,0.0
35,0,1.3300918031141975,False,2,0.09178094565868378,1.1963245868682861,0.23910434544086456,-0.12338761985301971,0.0705435648560524,0.15698187053203583,0.0,0.0
36,0,-0.8423677293063168,False,1,0.09419002383947372,1.1945205926895142,0.23292481899261475,-0.08057527989149094,0.07845058292150497,0.1581403613090515,0.0,0.0
37,0,-1.4342096656087608,False,1,0.09651307761669159,1.1921172142028809,0.22214099764823914,-0.10739150643348694,0.08851489424705505,0.201285719871521,0.0,0.0
38,0,-0.6480338372069128,False,2,0.09875679016113281,1.1890957355499268,0.2121947556734085,-0.1350514441728592,0.10059637576341629,0.2416294515132904,0.0,0.0
39,0,-2.9051303104965585,False,3,0.10099868476390839,1.1863325834274292,0.21175876259803772,-0.1236841008067131,0.11293503642082214,0.24677343666553497,0.0,0.0
40,0,-2.8808198138578676,False,3,0.1033136397600174,1.1829930543899536,0.22096629440784454,-0.1492583453655243,0.12339463084936142,0.2091919630765915,0.0,0.0
41,0,1.1516570769347367,False,2,0.10571308434009552,1.1790612936019897,0.23156774044036865,-0.17546330392360687,0.13172569870948792,0.16662172973155975,0.0,0.0
42,0,1.012767775337619,False,2,0.10793447494506836,1.175318717956543,0.21428386867046356,-0.1670600026845932,0.13956084847450256,0.15670304000377655,0.0,0.0
43,0,-0.2197749217902924,False,2,0.10999679565429688,1.1717585325241089,0.19876137375831604,-0.15893962979316711,0.14700254797935486,0.14883409440517426,0.0,0.0
44,0,-0.6370896085995696,False,2,0.11206016689538956,1.1683931350708008,0.19852179288864136,-0.1503702700138092,0.15480871498584747,0.15612353384494781,0.0,0.0
45,0,-1.66119673693771,False,1,0.11418762058019638,1.1652966737747192,0.20422852039337158,-0.1385277956724167,0.16332104802131653,0.17024652659893036,0.0,0.0
46,0,3.1947062815766687,False,2,0.11624584347009659,1.161595106124878,0.19557562470436096,-0.16567890346050262,0.17357267439365387,0.20503266155719757,0.0,0.0
