step,episode,reward,done,action,state0,state1,state2,state3
0,0,1.0,False,0,-0.04620756980253165,0.010388788503460741,0.04887855963093955,-0.03861655361192398
1,0,1.0,False,1,-0.04599979403246243,-0.18539876674513905,0.04810622855870107,0.2690786052388362
2,0,1.0,False,0,-0.049707769367365214,0.009004838014944117,0.053487800663477796,-0.008051672244373087
3,0,1.0,False,1,-0.04952767260706633,-0.18684178197747103,0.05332676721859033,0.30101604435376633
4,0,1.0,False,1,-0.05326450824661575,0.0074811501470984365,0.059347088105665656,0.025616641361099812
5,0,1.0,False,0,-0.05311488524367378,0.20170401731199897,0.05985942093288765,-0.24776695557043116
6,0,1.0,False,1,-0.04908080489743381,0.005780532762214213,0.05490408182147903,0.06318007284311827
7,0,1.0,False,0,-0.04896519424218952,0.2000740619546568,0.056167683278341395,-0.2116873725078915
8,0,1.0,False,1,-0.04496371300309639,0.004195900278496034,0.051933935828183564,0.09817114078841621
9,0,1.0,False,1,-0.044879794997526465,0.19853655055689495,0.05389735864395189,-0.1776850864499142
10,0,1.0,False,0,-0.040909063986388564,0.39284742832056135,0.050343656914953606,-0.45289000889985714
11,0,1.0,False,0,-0.03305211541997734,0.19705104433148998,0.041285856736956464,-0.14477275262538136
12,0,1.0,False,1,-0.029111094533347537,0.0013629026614147832,0.038390401684448835,0.16064392327482663
13,0,1.0,False,1,-0.02908383648011924,0.19591481615603176,0.04160328014994537,-0.11968491622558813
14,0,1.0,False,0,-0.025165540156998605,0.39041676618335586,0.039209581825433604,-0.3989575536374378
15,0,1.0,False,0,-0.017357204833331488,0.19476115386705636,0.03123043075268485,-0.09417504214905098
16,0,1.0,False,1,-0.013461981755990362,-0.0007941745492487939,0.02934692990970383,0.2081951665901977
17,0,1.0,False,1,-0.013477865246975338,0.1938961157863833,0.03351083324150778,-0.07508776232346703
18,0,1.0,False,0,-0.009599942931247673,0.3885220304046685,0.032009077995038444,-0.3570123883095464
19,0,1.0,False,0,-0.001829502323154303,0.19295997143494648,0.024868830228847515,-0.05441050189883595
20,0,1.0,False,1,0.0020296971055446264,-0.002509572574519392,0.023780620190870797,0.24601383387924786
21,0,1.0,False,1,0.0019795056540542386,0.19226480422934686,0.028700896868455755,-0.03907428053793893
22,0,1.0,False,0,0.005824801738641175,0.3869636793240899,0.027919411257696976,-0.3225654100188939
23,0,1.0,False,0,0.013564075325122974,0.19145551281121526,0.0214681030573191,-0.02121021027332598
24,0,1.0,False,1,0.017393185581347278,-0.00396762919161428,0.02104389885185258,0.2781680929366087
25,0,1.0,False,1,0.017313832997514992,0.1908478875646284,0.026607260710584755,-0.007804030046474064
26,0,1.0,False,0,0.02113079074880756,0.38557834853600637,0.026451180109655272,-0.2919747218754107
27,0,1.0,False,1,0.028842357719527686,0.19008943101260123,0.020611685672147058,0.008931817978720225
28,0,1.0,False,0,0.03264414633977971,0.3849098104929245,0.020790322031721462,-0.27717727107177986
29,0,1.0,False,1,0.0403423425496382,0.18949751917489008,0.015246776610285864,0.02198973415364025
30,0,1.0,False,0,0.044132292933136,0.3843975354739434,0.015686571293358667,-0.26584393184307764
31,0,1.0,False,1,0.05182024364261487,0.1890552511546046,0.010369692656497113,0.031745107509205284
32,0,1.0,False,0,0.055601348665706964,0.38402697266256325,0.01100459480668122,-0.2576481158314004
33,0,1.0,False,1,0.06328188811895823,0.1887496551653617,0.005851632490053211,0.03848540994171856
34,0,1.0,False,0,0.06705688122226545,0.38378720712516645,0.006621340688887582,-0.25234553907949425
35,0,1.0,False,0,0.07473262536476878,0.18857133655062167,0.0015744299072976975,0.04241850773096256
36,0,1.0,False,1,0.07850405209578122,-0.006573156101825184,0.0024228000619169487,0.33559776611377024
37,0,1.0,False,1,0.07837258897374472,0.1885142311778498,0.009134755384192353,0.043679846581566484
38,0,1.0,False,0,0.08214287359730171,0.38350401042356785,0.010008352315823683,-0.24610703862877303
39,0,1.0,False,1,0.08981295380577307,0.1882405568646879,0.005086211543248223,0.04971587905744712
40,0,1.0,False,0,0.09357776494306683,0.3832892086870079,0.006080529124397166,-0.24135797457246416
41,0,1.0,False,1,0.10124354911680698,0.18808092959879769,0.0012533696329478823,0.05323669557067989
